,H+,He+,C+,N+,O+,CO+,N2+,NO+,O2+,CO2+
H+,0.9,0.28,0.102,0.088,0.077,0.045,0.045,0.042,0.039,0.029
He+,1.14,0.45,0.18,0.16,0.14,0.085,0.085,0.08,0.075,0.055
C+,1.22,0.55,0.26,0.23,0.21,0.13,0.13,0.12,0.12,0.09
N+,1.23,0.56,0.27,0.24,0.22,0.14,0.14,0.13,0.12,0.09
O+,1.23,0.57,0.28,0.25,0.22,0.15,0.15,0.14,0.13,0.1
CO+,1.25,0.59,0.31,0.28,0.25,0.17,0.17,0.16,0.15,0.12
N2+,1.25,0.59,0.31,0.28,0.25,0.17,0.17,0.16,0.15,0.12
NO+,1.25,0.6,0.31,0.28,0.26,0.17,0.17,0.16,0.16,0.12
O2+,1.25,0.6,0.31,0.28,0.26,0.18,0.18,0.17,0.16,0.12
CO2+,1.26,0.61,0.32,0.3,0.27,0.19,0.19,0.18,0.17,0.14
